"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","n_a","n_b","mean_difference_b_minus_a","median_difference_b_minus_a","hedges_g","rank_biserial","cliffs_delta","risk_difference_b_minus_a","odds_ratio_b_vs_a","feasibility_note"
"time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0","1h",14,16,49.0535714285714,71,0.360603881548935,0.245535714285714,0.245535714285714,NA,NA,"tested"
"time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0","24h",15,16,121.020833333333,106.5,1.10251759140971,0.591666666666667,0.591666666666667,NA,NA,"tested"
"time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0","96h",16,16,42.790625,66.65,0.330031004054431,0.2578125,0.2578125,NA,NA,"tested"
"time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0.5","1h",16,16,87.875,96,0.622982462744505,0.4140625,0.4140625,NA,NA,"tested"
"time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0.5","24h",15,15,89.1333333333333,211,0.543453594943561,0.244444444444444,0.244444444444444,NA,NA,"tested"
"time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0.5","96h",16,16,20.5875,14.975,0.174848009909735,0.125,0.125,NA,NA,"tested"
"time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","1","1h",16,16,96,138.5,0.71859663934881,0.3671875,0.3671875,NA,NA,"tested"
"time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","1","24h",14,12,40.7857142857143,79,0.39438601460441,0.297619047619048,0.297619047619048,NA,NA,"tested"
"time_bright","LDT phototaxis","LDT","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","1","96h",14,15,20.8214285714286,18.5,0.152800752512712,0.180952380952381,0.180952380952381,NA,NA,"tested"
"time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT3","BT1","BT3","0","1h",14,16,1.17857142857143,4,0.0624114106472428,0.0357142857142857,0.0357142857142857,NA,NA,"tested"
"time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT3","BT1","BT3","0","24h",15,15,-0.733333333333334,-8,-0.0440362142899841,-0.0444444444444444,-0.0444444444444444,NA,NA,"tested"
