"battery","treatment","exposure","variable","resolved_variable","n_total","n_nonmissing","n_missing","mean","sd","median","iqr","min","max"
"BT2","0.5","96h","mtpc","mtpc",16,16,0,59.9158296398927,119.513592880658,12.3136458333333,38.7827155172414,2.21969696969697,474.2
"BT3","0.5","96h","mtpc","mtpc",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","96h","mtpc","mtpc",14,14,0,156.705548469388,209.498388544954,46.2291666666667,350.514756944444,3.52777777777778,480
"BT2","1","96h","mtpc","mtpc",16,15,1,193.903239000798,216.602322014886,58.1125,456.563461538462,6.5515625,480
"BT3","1","96h","mtpc","mtpc",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","1h","num_changes","num_changes",14,14,0,25.5714285714286,18.7645913920312,24.5,23.75,0,66
"BT2","0","1h","num_changes","num_changes",16,16,0,16.4375,13.0586816588301,12.5,14.5,0,48
"BT3","0","1h","num_changes","num_changes",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","1h","num_changes","num_changes",16,16,0,23.4375,19.6433831098413,25.5,27,0,60
"BT2","0.5","1h","num_changes","num_changes",16,16,0,24.5,18.6261464971511,25.5,29,0,54
"BT3","0.5","1h","num_changes","num_changes",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","1h","num_changes","num_changes",16,16,0,27.125,28.0615395158569,18.5,36.5,0,108
"BT2","1","1h","num_changes","num_changes",16,16,0,32.5625,31.8746895409717,29,25.75,0,125
"BT3","1","1h","num_changes","num_changes",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","24h","num_changes","num_changes",15,15,0,18.9333333333333,8.87586347241509,20,10,2,35
"BT2","0","24h","num_changes","num_changes",16,16,0,15.125,11.7636445599709,16.5,17.25,0,36
"BT3","0","24h","num_changes","num_changes",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0.5","24h","num_changes","num_changes",15,15,0,21.2666666666667,13.9102565790584,26,24,0,45
"BT2","0.5","24h","num_changes","num_changes",15,15,0,6.8,9.0015871616383,2,10.5,0,32
