"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","statistic","estimate","ci_low","ci_high","bootstrap_R_requested","bootstrap_R_valid"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h","median_difference_b_minus_a",0,-13,0,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h","hedges_g",-0.179345008955292,-0.902331021380967,0.429049109032038,2000,1999
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h","cliffs_delta",-0.1796875,-0.50390625,0.140625,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h","mean_difference_b_minus_a",35.3214285714286,-3.42857142857143,106.321428571429,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h","median_difference_b_minus_a",0,-4,0,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h","hedges_g",0.427272534499887,-0.897513461531949,0.838217356347265,2000,1998
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h","cliffs_delta",-0.0714285714285714,-0.428571428571429,0.25,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h","mean_difference_b_minus_a",33.4553571428571,0.481473214285714,93.9941964285714,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h","median_difference_b_minus_a",0,0,12,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h","hedges_g",0.37401965572766,0.101823330484811,1.18796269673968,2000,2000
